platform,language,size,concept,animation_id,elements,zip_file,zip_kb
Google Ads,RU,300x250,Sync Slider,sync-slider,"person, logo, UI panel, vertical slider, synchronized UI sliders, CTA",google_ru_300x250_sync-slider_person-logo-ui-slider-cta.zip,9.0
Google Ads,RU,336x280,Light Before/After,before-after-light,"person, logo, UI panel, brightness reveal, CTA",google_ru_336x280_before-after-light_person-logo-ui-slider-cta.zip,11.1
Google Ads,RU,728x90,UI Micro Motion,ui-micro-motion,"person, logo, UI panel, toggle, slider micro-motion, CTA",google_ru_728x90_ui-micro-motion_person-logo-ui-slider-cta.zip,8.0
Google Ads,RU,970x90,Mask Reveal,mask-reveal,"person, logo, UI panel, golden reveal sweep, CTA",google_ru_970x90_mask-reveal_person-logo-ui-slider-cta.zip,8.3
Google Ads,RU,970x250,Kinetic Typography,kinetic-type,"person, logo, kinetic headline, mini UI, CTA",google_ru_970x250_kinetic-type_person-logo-ui-slider-cta.zip,15.1
Google Ads,RU,160x600,Depth / Parallax,depth-parallax,"person, logo, UI panel, depth layers, vertical slider, CTA",google_ru_160x600_depth-parallax_person-logo-ui-slider-cta.zip,9.0
Google Ads,RU,300x600,Number Counter,number-counter,"person, logo, UI panel, 28→78 counter, CTA",google_ru_300x600_number-counter_person-logo-ui-slider-cta.zip,13.3
Google Ads,RU,320x50,Night → Day,night-to-day,"person, logo, moon/sun transition, UI panel, CTA",google_ru_320x50_night-to-day_person-logo-ui-slider-cta.zip,5.6
Google Ads,RU,320x100,Interactive Drag,interactive-drag,"person, logo, draggable brightness slider, UI panel, CTA",google_ru_320x100_interactive-drag_person-logo-ui-slider-cta.zip,7.4
Google Ads,RU,250x250,CTA Pulse,cta-pulse,"person, logo, UI panel, slider, CTA pulse/shimmer",google_ru_250x250_cta-pulse_person-logo-ui-slider-cta.zip,9.2
Google Ads,EN,300x250,Sync Slider,sync-slider,"person, logo, UI panel, vertical slider, synchronized UI sliders, CTA",google_en_300x250_sync-slider_person-logo-ui-slider-cta.zip,8.9
Google Ads,EN,336x280,Light Before/After,before-after-light,"person, logo, UI panel, brightness reveal, CTA",google_en_336x280_before-after-light_person-logo-ui-slider-cta.zip,11.0
Google Ads,EN,728x90,UI Micro Motion,ui-micro-motion,"person, logo, UI panel, toggle, slider micro-motion, CTA",google_en_728x90_ui-micro-motion_person-logo-ui-slider-cta.zip,7.8
Google Ads,EN,970x90,Mask Reveal,mask-reveal,"person, logo, UI panel, golden reveal sweep, CTA",google_en_970x90_mask-reveal_person-logo-ui-slider-cta.zip,8.2
Google Ads,EN,970x250,Kinetic Typography,kinetic-type,"person, logo, kinetic headline, mini UI, CTA",google_en_970x250_kinetic-type_person-logo-ui-slider-cta.zip,15.0
Google Ads,EN,160x600,Depth / Parallax,depth-parallax,"person, logo, UI panel, depth layers, vertical slider, CTA",google_en_160x600_depth-parallax_person-logo-ui-slider-cta.zip,8.9
Google Ads,EN,300x600,Number Counter,number-counter,"person, logo, UI panel, 28→78 counter, CTA",google_en_300x600_number-counter_person-logo-ui-slider-cta.zip,13.2
Google Ads,EN,320x50,Night → Day,night-to-day,"person, logo, moon/sun transition, UI panel, CTA",google_en_320x50_night-to-day_person-logo-ui-slider-cta.zip,5.5
Google Ads,EN,320x100,Interactive Drag,interactive-drag,"person, logo, draggable brightness slider, UI panel, CTA",google_en_320x100_interactive-drag_person-logo-ui-slider-cta.zip,7.3
Google Ads,EN,250x250,CTA Pulse,cta-pulse,"person, logo, UI panel, slider, CTA pulse/shimmer",google_en_250x250_cta-pulse_person-logo-ui-slider-cta.zip,9.1
Yandex Direct,RU,240x400,Sync Slider,sync-slider,"person, logo, UI panel, vertical slider, synchronized UI sliders, CTA",yandex_ru_240x400_sync-slider_person-logo-ui-slider-cta.zip,9.7
Yandex Direct,RU,300x250,Light Before/After,before-after-light,"person, logo, UI panel, brightness reveal, CTA",yandex_ru_300x250_before-after-light_person-logo-ui-slider-cta.zip,10.3
Yandex Direct,RU,300x300,UI Micro Motion,ui-micro-motion,"person, logo, UI panel, toggle, slider micro-motion, CTA",yandex_ru_300x300_ui-micro-motion_person-logo-ui-slider-cta.zip,9.8
Yandex Direct,RU,300x600,Mask Reveal,mask-reveal,"person, logo, UI panel, golden reveal sweep, CTA",yandex_ru_300x600_mask-reveal_person-logo-ui-slider-cta.zip,13.2
Yandex Direct,RU,336x280,Kinetic Typography,kinetic-type,"person, logo, kinetic headline, mini UI, CTA",yandex_ru_336x280_kinetic-type_person-logo-ui-slider-cta.zip,10.0
Yandex Direct,RU,728x90,Depth / Parallax,depth-parallax,"person, logo, UI panel, depth layers, vertical slider, CTA",yandex_ru_728x90_depth-parallax_person-logo-ui-slider-cta.zip,7.9
Yandex Direct,RU,970x250,Number Counter,number-counter,"person, logo, UI panel, 28→78 counter, CTA",yandex_ru_970x250_number-counter_person-logo-ui-slider-cta.zip,15.3
Yandex Direct,RU,320x50,Night → Day,night-to-day,"person, logo, moon/sun transition, UI panel, CTA",yandex_ru_320x50_night-to-day_person-logo-ui-slider-cta.zip,5.7
Yandex Direct,RU,320x100,Interactive Drag,interactive-drag,"person, logo, draggable brightness slider, UI panel, CTA",yandex_ru_320x100_interactive-drag_person-logo-ui-slider-cta.zip,7.5
Yandex Direct,RU,160x600,CTA Pulse,cta-pulse,"person, logo, UI panel, slider, CTA pulse/shimmer",yandex_ru_160x600_cta-pulse_person-logo-ui-slider-cta.zip,9.1
Yandex Direct,EN,240x400,Sync Slider,sync-slider,"person, logo, UI panel, vertical slider, synchronized UI sliders, CTA",yandex_en_240x400_sync-slider_person-logo-ui-slider-cta.zip,9.6
Yandex Direct,EN,300x250,Light Before/After,before-after-light,"person, logo, UI panel, brightness reveal, CTA",yandex_en_300x250_before-after-light_person-logo-ui-slider-cta.zip,10.2
Yandex Direct,EN,300x300,UI Micro Motion,ui-micro-motion,"person, logo, UI panel, toggle, slider micro-motion, CTA",yandex_en_300x300_ui-micro-motion_person-logo-ui-slider-cta.zip,9.7
Yandex Direct,EN,300x600,Mask Reveal,mask-reveal,"person, logo, UI panel, golden reveal sweep, CTA",yandex_en_300x600_mask-reveal_person-logo-ui-slider-cta.zip,13.0
Yandex Direct,EN,336x280,Kinetic Typography,kinetic-type,"person, logo, kinetic headline, mini UI, CTA",yandex_en_336x280_kinetic-type_person-logo-ui-slider-cta.zip,9.9
